S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
82,PUB,Culvert/ Drains,Diameter,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElementDimension,Diameter,Length,mm,N.A,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
83,PUB,Culvert/ Drains,Gradient,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElementDimension,Gradient,Label,N.A,N.A,N.A,1:100,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
84,PUB,Culvert/ Drains,Height,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElementDimension,Height,Length,mm,N.A,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
85,PUB,Culvert/ Drains,Length,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElementDimension,Length,Length,mm,N.A,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
86,LTA,Culvert/ Drains,Load Bearing,Generic Models,Object,"Slab, Panel",Drains&Basins,STR,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElement,LoadBearing,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
87,PUB,Culvert/ Drains,Material,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_Material,Material,Label,N.A,Name,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,Material,check
88,PUB,Culvert/ Drains,System Name,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElement,SystemName,Label,N.A,N.A,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
89,PUB,Culvert/ Drains,System Type,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElement,SystemType,Label,N.A,N.A,N.A,"Rainwater, Drainage","IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
90,PUB,Culvert/ Drains,Thickness,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElementDimension,Thickness,Length,mm,N.A,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
91,PUB,Culvert/ Drains,Width,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,"*COMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",SGPset_CivilElementDimension,Width,Length,mm,N.A,N.A,N.A,"IfcCivilElementCOMMONDRAIN, *CROSSCULVERT, *CULVERT, *ENTRANCECULVERT, *EXTERNALDRAIN, *INTERNALDRAIN, *OUTLETDRAIN, *ROADSIDEDRAIN, TRENCH",skip,CivilElement,CivilElement,okay
92,PUB,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcBuildingElementProxy,*DROPINLETCHAMBER,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyDROPINLETCHAMBER,okay,BuildingElementProxy,#N/A,#N/A
93,URA,Curtain Wall,N.A,Curtain Systems,Curtain Wall,N.A,Curtain Wall,ARC,IfcCurtainWall,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcCurtainWallN.A,skip,CurtainWall,#N/A,#N/A
94,SCDF,Damper,Fire Rating,Duct Accessories,Object,N.A,Object,MEP,IfcDamper,SMOKEDAMPER,SGPset_Damper,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,IfcDamperSMOKEDAMPER,check,Damper,Damper,okay
95,SCDF,Damper,Fire Rating,Duct Accessories,Object,N.A,Object,MEP,IfcDamper,FIRESMOKEDAMPER,SGPset_Damper,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,IfcDamperFIRESMOKEDAMPER,check,Damper,Damper,okay
96,SCDF,Damper,Fire Rating,Duct Accessories,Object,N.A,Object,MEP,IfcDamper,FIREDAMPER,SGPset_Damper,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,IfcDamperFIREDAMPER,check,Damper,Damper,okay
97,PUB,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,INSPECTIONCHAMBER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementINSPECTIONCHAMBER,check,DistributionChamberElement,#N/A,#N/A
98,PUB,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,MANHOLE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementMANHOLE,check,DistributionChamberElement,#N/A,#N/A
99,PUB,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,METERCHAMBER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementMETERCHAMBER,check,DistributionChamberElement,#N/A,#N/A
100,NEA,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,*PWCSINSPECTIONCHAMBER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementPWCSINSPECTIONCHAMBER,okay,DistributionChamberElement,#N/A,#N/A
101,NEA,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,*PWCSMANHOLE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementPWCSMANHOLE,okay,DistributionChamberElement,#N/A,#N/A
102,PUB,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,*SCREENCHAMBER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementSCREENCHAMBER,okay,DistributionChamberElement,#N/A,#N/A
103,NEA,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,*SAMPLINGSUMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementSAMPLINGSUMP,okay,DistributionChamberElement,#N/A,#N/A
104,All,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,SUMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementSUMP,check,DistributionChamberElement,#N/A,#N/A
105,PUB,Distribution Chamber,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,TRENCH,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDistributionChamberElementTRENCH,check,DistributionChamberElement,#N/A,#N/A
106,PUB,Distribution Chamber,Depth,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,Depth,Length,mm,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
107,PUB,Distribution Chamber,Diameter,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,Diameter,Length,mm,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
108,PUB,Distribution Chamber,Height,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,Height,Length,mm,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
109,PUB,Distribution Chamber,ID,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElement,ID,Label,N.A,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
110,PUB,Distribution Chamber,Invert Level,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,InvertLevel,Real,SHD m,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
111,PUB,Distribution Chamber,Length,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,Length,Length,mm,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
112,PUB,Distribution Chamber,Material,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_Material,Material,Label,N.A,Name,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,Material,check
113,PUB,Distribution Chamber,Status,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElement,Status,Label,N.A,N.A,"Existing, Proposed, To Be Removed, Abandoned, New, Temporary, Demolished",N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
114,PUB,Distribution Chamber,System Name,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElement,SystemName,Label,N.A,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
115,PUB,Distribution Chamber,System Type,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElement,SystemType,Label,N.A,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
116,PUB,Distribution Chamber,Top Level,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,TopLevel,Real,SHD m,N.A,N.A,"-50, 3.423","IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
117,PUB,Distribution Chamber,Trade Effluent,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElement,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
118,PUB,Distribution Chamber,Width,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcDistributionChamberElement,"INSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",SGPset_DistributionChamberElementDimension,Width,Length,mm,N.A,N.A,N.A,"IfcDistributionChamberElementINSPECTIONCHAMBER, MANHOLE, METERCHAMBER, *PWCSINSPECTIONCHAMBER, *PWCSMANHOLE, *SCREENCHAMBER, *SAMPLINGSUMP, SUMP, TRENCH",skip,DistributionChamberElement,DistributionChamberElement,okay
119,NEA,Distribution Chamber,External Reference,Generic Models,Covering,N.A,Slab,ARC,IfcCovering,*PWCSINSPECTIONCHAMBERCOVER,SGPset_Covering,ExternalReference,Label,N.A,N.A,N.A,SS 30 Manhole Tops and Surface-box Tops,IfcCoveringPWCSINSPECTIONCHAMBERCOVER,okay,Covering,Covering,okay
120,NEA,Distribution Chamber,Watertight,Generic Models,Covering,N.A,Slab,ARC,IfcCovering,*PWCSINSPECTIONCHAMBERCOVER,SGPset_Covering,Watertight,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcCoveringPWCSINSPECTIONCHAMBERCOVER,okay,Covering,Covering,okay
121,NEA,Distribution Chamber,External Reference,Generic Models,Covering,N.A,Slab,ARC,IfcCovering,*PWCSMANHOLECOVER,SGPset_Covering,ExternalReference,Label,N.A,N.A,N.A,SS 30 Manhole Tops and Surface-box Tops,IfcCoveringPWCSMANHOLECOVER,okay,Covering,Covering,okay
122,NEA,Distribution Chamber,Watertight,Generic Models,Covering,N.A,Slab,ARC,IfcCovering,*PWCSMANHOLECOVER,SGPset_Covering,Watertight,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcCoveringPWCSMANHOLECOVER,okay,Covering,Covering,okay
123,SCDF,Door,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*BLASTDOOR,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorBLASTDOOR,okay,Door,#N/A,#N/A
124,SCDF,Door,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,DOOR,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorDOOR,check,Door,#N/A,#N/A
125,SCDF,Door,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,GATE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorGATE,check,Door,#N/A,#N/A
126,SCDF,Door,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*ROLLERSHUTTER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorROLLERSHUTTER,okay,Door,#N/A,#N/A
127,SCDF,Door,Clear Height,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_DoorDimension,ClearHeight,Length,mm,N.A,N.A,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
128,SCDF,Door,Clear Width,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_DoorDimension,ClearWidth,Length,mm,N.A,N.A,1200,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
129,SCDF,Door,Fire Access Opening,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,FireAccessOpening,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
130,SCDF,Door,Fire Exit,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",Pset_DoorCommon,FireExit,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
131,SCDF,Door,Fire Rating,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",Pset_DoorCommon,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
132,NEA,Door,Main Entrance,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,MainEntrance,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
133,SCDF,Door,Material,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Material,Material,Label,N.A,Name,N.A,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Mate,check
134,SCDF,Door,One Way Locking Device,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,OneWayLockingDevice,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
135,SCDF,Door,Operation Type,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,OperationType,Label,N.A,N.A,N.A,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
136,BCA,Door,Overall Width,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_DoorDimension,OverallWidth,Length,mm,N.A,N.A,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
137,BCA,Door,PowerOperated,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,PowerOperated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
138,SCDF,Door,Self Closing,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,SelfClosing,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
139,BCA,Door,Structural Height,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_DoorDimension,StructuralHeight,Length,mm,N.A,N.A,710,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
140,BCA,Door,Structural Width,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_DoorDimension,StructuralWidth,Length,mm,N.A,N.A,490,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
141,BCA,Door,Thickness,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_DoorDimension,Thickness,Length,mm,N.A,N.A,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
142,BCA,Door,Vision Panel,Doors,Door,N.A,Door,ARC,IfcDoor,"DOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",SGPset_Door,VisionPanel,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorDOOR, GATE, *BLASTDOOR, *ROLLERSHUTTER",skip,Door,Door,okay
143,URA,Earthworks,Area,Toposolid,Mesh,N.A,Mesh,ARC,IfcGeographicElement,TERRAIN,SGPset_GeographicElementDimension,Area,Area,m2,N.A,N.A,N.A,IfcGeographicElementTERRAIN,check,GeographicElement,GeographicElement,okay
144,URA,Earthworks,Status,Toposolid,Mesh,N.A,Mesh,ARC,IfcGeographicElement,TERRAIN,SGPset_GeographicElement,Status,Label,N.A,N.A,"Existing, Proposed",N.A,IfcGeographicElementTERRAIN,check,GeographicElement,GeographicElement,okay
